Timestamp,Donated,Contributions,Average Donation
1382126759,12230.06,454,26.9384581498
1382127665,13543.42,487,27.8098973306
1382128567,14279.42,521,27.4077159309
1382128847,14409.42,526,27.3943346008
1382128999,14599.42,535,27.288635514
1382129151,14759.42,539,27.3829684601
1382129302,14829.42,542,27.3605535055
1382129605,15220.42,550,27.6734909091
1382130010,15465.42,562,27.5185409253
1382130415,15756.92,576,27.3557638889
1382130821,15997.42,587,27.2528449744
1382131225,16368.92,603,27.1458043118
1382131630,16549.92,612,27.0423529412
1382132035,16821.92,624,26.9582051282
1382132440,16941.92,630,26.8919365079
1382132844,17151.92,636,26.968427673
1382133249,17267.92,641,26.9390327613
1382133657,17502.92,651,26.8862058372
1382134061,17787.92,663,26.8294419306
1382134466,17857.92,668,26.7334131737
1382134870,18135,679,26
1382135274,18530,684,27
1382135679,18655,691,26
1382136087,18775,697,26
1382136491,19012.68,704,27.0066477273
1382136895,19182.68,713,26.9041795231
1382137300,19362.68,719,26.9300139082
1382137704,19510.68,727,26.8372489684
1382138109,19643,733,26
1382138517,19894,742,26
1382138925,20392,759,26
1382139332,20519,764,26
1382139640,20635,769,26
1382139798,20700,772,26
1382139951,20853.5,779,26.76957638
1382140110,20973.5,784,26.7519132653
1382140264,20974.5,785,26.7191082803
1382140423,21185.17,794,26.6815743073
1382140579,21360.17,800,26.7002125
1382140735,21470.17,807,26.6049194548
1382140891,22572.17,812,27.7982389163
1382141042,22697.17,817,27.7811138311
1382141197,22717.17,818,27.771601467
1382141352,22832.17,822,27.7763625304
1382141505,22882.17,824,27.7696237864
1382141662,23099.17,831,27.7968351384
1382141820,23529.18,844,27.8781753555
1382141978,24239.18,860,28.1850930233
1382142134,24471.18,870,28.1277931034
1382142293,24771.18,879,28.1810921502
1382142450,25921.58,884,29.3230542986
1382142609,26251.59,891,29.4630639731
1382142767,26446.59,900,29.3851
1382142927,26764.59,911,29.37935236
1382143085,26969.59,917,29.4106761178
1382143242,27069.59,922,29.3596420824
1382143400,27089.59,923,29.3495016251
1382143554,27162.59,927,29.3016073355
1382143713,27227.59,930,29.2769784946
1382143871,27514.59,941,29.2397343252
1382144031,27689.59,947,29.2392713833
1382144188,27729.59,949,29.2197997893
1382144342,27754.59,950,29.2153578947
1382144496,27829.59,952,29.232762605
1382144648,27869.59,954,29.2134067086
1382144750,27869.59,954,29.2134067086
1382145161,28245.59,961,29.3918730489
1382145576,28500.59,973,29.2914594039
1382145991,28715.59,983,29.212197355
1382146403,28820.59,988,29.1706376518
1382146814,28900.59,992,29.1336592742
1382147222,29065.59,997,29.1530491474
1382147627,29085.59,998,29.1438777555
1382148040,29210.59,1004,29.0942131474
1382148446,29280.59,1007,29.0770506455
1382148856,29321.59,1010,29.0312772277
1382149265,29321.59,1010,29.0312772277
1382149673,29431.59,1015,28.9966403941
1382150082,29497.59,1019,28.9475858685
1382150491,29577.59,1023,28.9126001955
1382150896,29647.59,1026,28.8962865497
1382151302,29717.59,1029,28.8800680272
1382151709,29847.59,1035,28.8382512077
1382152118,29936.59,1040,28.7851826923
1382152531,30251.59,1048,28.8660209924
1382152937,30291.59,1050,28.8491333333
1382153349,30391.59,1055,28.8071943128
1382153757,30391.59,1055,28.8071943128
1382154167,30567.72,1064,28.7290601504
1382154575,30677.72,1069,28.6975865295
1382154983,30742.72,1072,28.6779104478
1382155392,30827.72,1077,28.6236954503
1382155797,30857.72,1079,28.5984430028
1382156201,30947.72,1083,28.5759187442
1382156608,31012.72,1086,28.5568324125
1382157013,31092.73,1090,28.525440367
1382157417,31092.73,1090,28.525440367
1382157821,31167.73,1093,28.5157639524
1382158226,31242.73,1095,28.532173516
1382158631,31292.73,1097,28.5257338195
1382159037,31292.73,1097,28.5257338195
1382159443,31292.73,1097,28.5257338195
